,age,length_of_service,STATUS,BUSINESS_UNIT,hierarchy_job,population_category,gender_short_F,gender_short_M,department_service_Business,department_service_Customer
0,52,17,1,0,2,2,0,1,1,0
1,53,18,1,0,2,2,0,1,1,0
2,54,19,1,0,2,2,0,1,1,0
3,55,20,1,0,2,2,0,1,1,0
4,56,21,1,0,2,2,0,1,1,0
5,57,22,1,0,2,2,0,1,1,0
6,58,23,1,0,2,2,0,1,1,0
7,59,24,1,0,2,2,0,1,1,0
8,60,25,1,0,2,2,0,1,1,0
9,61,26,1,0,2,2,0,1,1,0
10,49,17,1,0,3,2,1,0,1,0
11,50,18,1,0,3,2,1,0,1,0
12,51,19,1,0,3,2,1,0,1,0
13,52,20,1,0,3,2,1,0,1,0
14,53,21,1,0,3,2,1,0,1,0
15,54,22,1,0,3,2,1,0,1,0
16,55,23,1,0,3,2,1,0,1,0
17,56,24,1,0,3,2,1,0,1,0
18,57,25,1,0,3,2,1,0,1,0
19,58,26,1,0,3,2,1,0,1,0
20,51,17,1,0,0,2,1,0,1,0
21,52,18,1,0,0,2,1,0,1,0
22,53,19,1,0,0,2,1,0,1,0
23,54,20,1,0,0,2,1,0,1,0
24,55,21,1,0,0,2,1,0,1,0
25,56,22,1,0,0,2,1,0,1,0
26,57,23,1,0,0,2,1,0,1,0
27,58,24,1,0,0,2,1,0,1,0
28,59,25,1,0,0,2,1,0,1,0
29,60,26,1,0,0,2,1,0,1,0
30,47,17,1,0,3,2,0,1,1,0
31,48,18,1,0,3,2,0,1,1,0
32,49,19,1,0,3,2,0,1,1,0
33,50,20,1,0,3,2,0,1,1,0
34,51,21,1,0,3,2,0,1,1,0
35,52,22,1,0,3,2,0,1,1,0
36,53,23,1,0,3,2,0,1,1,0
37,54,24,1,0,3,2,0,1,1,0
38,55,25,1,0,3,2,0,1,1,0
39,56,26,1,0,3,2,0,1,1,0
40,48,17,1,0,3,2,0,1,1,0
41,49,18,1,0,3,2,0,1,1,0
42,50,19,1,0,3,2,0,1,1,0
43,51,20,1,0,3,2,0,1,1,0
44,52,21,1,0,3,2,0,1,1,0
45,53,22,1,0,3,2,0,1,1,0
46,54,23,1,0,3,2,0,1,1,0
47,55,24,1,0,3,2,0,1,1,0
48,56,25,1,0,3,2,0,1,1,0
49,57,26,1,0,3,2,0,1,1,0
50,44,17,1,0,2,2,0,1,1,0
51,45,18,1,0,2,2,0,1,1,0
52,46,19,1,0,2,2,0,1,1,0
53,47,20,1,0,2,2,0,1,1,0
54,48,21,1,0,2,2,0,1,1,0
55,49,22,1,0,2,2,0,1,1,0
56,50,23,1,0,2,2,0,1,1,0
57,51,24,1,0,2,2,0,1,1,0
58,52,25,1,0,2,2,0,1,1,0
59,53,26,1,0,2,2,0,1,1,0
60,42,17,1,0,2,2,1,0,1,0
61,43,18,1,0,2,2,1,0,1,0
62,44,19,1,0,2,2,1,0,1,0
63,45,20,1,0,2,2,1,0,1,0
64,46,21,1,0,2,2,1,0,1,0
65,47,22,1,0,2,2,1,0,1,0
66,48,23,1,0,2,2,1,0,1,0
67,49,24,1,0,2,2,1,0,1,0
68,50,25,1,0,2,2,1,0,1,0
69,51,26,1,0,2,2,1,0,1,0
70,50,17,1,0,2,2,1,0,1,0
71,51,18,1,0,2,2,1,0,1,0
72,52,19,1,0,2,2,1,0,1,0
73,53,20,1,0,2,2,1,0,1,0
74,54,21,1,0,2,2,1,0,1,0
75,55,22,1,0,2,2,1,0,1,0
76,56,23,1,0,2,2,1,0,1,0
77,57,24,1,0,2,2,1,0,1,0
78,58,25,1,0,2,2,1,0,1,0
79,59,26,1,0,2,2,1,0,1,0
80,39,17,1,1,1,1,1,0,1,0
81,40,18,1,1,1,1,1,0,1,0
82,41,19,1,1,1,1,1,0,1,0
83,42,20,1,1,1,1,1,0,1,0
84,43,21,1,1,1,1,1,0,1,0
85,44,22,1,1,1,1,1,0,1,0
86,45,23,1,1,1,1,1,0,1,0
87,46,24,1,1,1,1,1,0,1,0
88,47,25,1,1,1,1,1,0,1,0
89,48,26,1,1,1,1,1,0,1,0
90,39,17,1,1,1,1,1,0,0,1
91,40,18,1,1,1,1,1,0,0,1
92,41,19,1,1,1,1,1,0,0,1
93,42,20,1,1,1,1,1,0,0,1
94,43,21,1,1,1,1,1,0,0,1
95,44,22,1,1,1,1,1,0,0,1
96,45,23,1,1,1,1,1,0,0,1
97,46,24,1,1,1,1,1,0,0,1
98,47,25,1,1,1,1,1,0,0,1
99,48,26,1,1,1,1,1,0,0,1
100,41,17,1,1,1,2,1,0,1,0
101,42,18,1,1,1,2,1,0,1,0
102,43,19,1,1,1,2,1,0,1,0
103,44,20,1,1,1,2,1,0,1,0
104,45,21,1,1,1,2,1,0,1,0
105,46,22,1,1,1,2,1,0,1,0
106,47,23,1,1,1,2,1,0,1,0
107,48,24,1,1,1,2,1,0,1,0
108,49,25,1,1,1,2,1,0,1,0
109,50,26,1,1,1,2,1,0,1,0
110,51,17,1,0,2,2,1,0,1,0
111,52,18,1,0,2,2,1,0,1,0
112,53,19,1,0,2,2,1,0,1,0
113,54,20,1,0,2,2,1,0,1,0
114,55,21,1,0,2,2,1,0,1,0
115,56,22,1,0,2,2,1,0,1,0
116,57,23,1,0,2,2,1,0,1,0
117,58,24,1,0,2,2,1,0,1,0
118,59,25,1,0,2,2,1,0,1,0
119,60,26,1,0,2,2,1,0,1,0
120,45,17,1,0,2,2,0,1,1,0
121,46,18,1,0,2,2,0,1,1,0
122,47,19,1,0,2,2,0,1,1,0
123,48,20,1,0,2,2,0,1,1,0
124,49,21,1,0,2,2,0,1,1,0
125,50,22,1,0,2,2,0,1,1,0
126,51,23,1,0,2,2,0,1,1,0
127,52,24,1,0,2,2,0,1,1,0
128,53,25,1,0,2,2,0,1,1,0
129,54,26,1,0,2,2,0,1,1,0
130,44,17,1,0,3,2,1,0,1,0
131,45,18,1,0,3,2,1,0,1,0
132,46,19,1,0,3,2,1,0,1,0
133,47,20,1,0,3,2,1,0,1,0
134,48,21,1,0,3,2,1,0,1,0
135,49,22,1,0,3,2,1,0,1,0
136,50,23,1,0,3,2,1,0,1,0
137,51,24,1,0,3,2,1,0,1,0
138,52,25,1,0,3,2,1,0,1,0
139,53,26,1,0,3,2,1,0,1,0
140,57,17,1,0,3,2,0,1,1,0
141,58,18,1,0,3,2,0,1,1,0
142,59,19,1,0,3,2,0,1,1,0
143,57,17,1,1,1,1,1,0,1,0
144,58,18,1,1,1,1,1,0,1,0
145,59,19,1,1,1,1,1,0,1,0
146,60,20,1,1,1,1,1,0,1,0
147,61,21,1,1,1,1,1,0,1,0
148,62,22,1,1,1,1,1,0,1,0
149,63,23,1,1,1,1,1,0,1,0
150,64,24,1,1,1,1,1,0,1,0
151,57,17,1,1,1,2,0,1,1,0
152,58,18,1,1,1,2,0,1,1,0
153,59,19,1,1,1,2,0,1,1,0
154,57,17,1,0,3,2,0,1,1,0
155,58,18,1,0,3,2,0,1,1,0
156,59,19,1,0,3,2,0,1,1,0
157,57,17,1,1,1,2,1,0,1,0
158,58,18,1,1,1,2,1,0,1,0
159,59,19,1,1,1,2,1,0,1,0
160,60,20,1,1,1,2,1,0,1,0
161,61,21,1,1,1,2,1,0,1,0
162,62,22,1,1,1,2,1,0,1,0
163,63,23,1,1,1,2,1,0,1,0
164,64,24,1,1,1,2,1,0,1,0
165,57,17,1,0,3,2,1,0,1,0
166,58,18,1,0,3,2,1,0,1,0
167,59,19,1,0,3,2,1,0,1,0
168,60,20,1,0,3,2,1,0,1,0
169,61,21,1,0,3,2,1,0,1,0
170,62,22,1,0,3,2,1,0,1,0
171,63,23,1,0,3,2,1,0,1,0
172,64,24,1,0,3,2,1,0,1,0
173,57,17,1,0,3,2,1,0,1,0
174,58,18,1,0,3,2,1,0,1,0
175,59,19,1,0,3,2,1,0,1,0
176,60,20,1,0,3,2,1,0,1,0
177,61,21,1,0,3,2,1,0,1,0
178,62,22,1,0,3,2,1,0,1,0
179,63,23,1,0,3,2,1,0,1,0
180,64,24,1,0,3,2,1,0,1,0
181,57,17,1,1,1,2,0,1,0,1
182,58,18,1,1,1,2,0,1,0,1
183,59,19,1,1,1,2,0,1,0,1
184,57,17,1,0,3,2,0,1,1,0
185,58,18,1,0,3,2,0,1,1,0
186,59,19,1,0,3,2,0,1,1,0
187,57,17,1,0,0,2,1,0,1,0
188,58,18,1,0,0,2,1,0,1,0
189,59,19,1,0,0,2,1,0,1,0
190,60,20,1,0,0,2,1,0,1,0
191,61,21,1,0,0,2,1,0,1,0
192,62,22,1,0,0,2,1,0,1,0
193,63,23,1,0,0,2,1,0,1,0
194,64,24,1,0,0,2,1,0,1,0
195,57,17,1,1,1,1,0,1,1,0
196,58,18,1,1,1,1,0,1,1,0
197,59,19,1,1,1,1,0,1,1,0
198,57,17,1,0,0,2,0,1,1,0
199,58,18,1,0,0,2,0,1,1,0
200,59,19,1,0,0,2,0,1,1,0
201,57,17,1,0,0,2,0,1,1,0
202,58,18,1,0,0,2,0,1,1,0
203,59,19,1,0,0,2,0,1,1,0
204,57,17,1,1,1,2,0,1,0,1
205,58,18,1,1,1,2,0,1,0,1
206,59,19,1,1,1,2,0,1,0,1
207,57,17,1,1,1,2,1,0,0,1
208,58,18,1,1,1,2,1,0,0,1
209,59,19,1,1,1,2,1,0,0,1
210,60,20,1,1,1,2,1,0,0,1
211,61,21,1,1,1,2,1,0,0,1
212,62,22,1,1,1,2,1,0,0,1
213,63,23,1,1,1,2,1,0,0,1
214,64,24,1,1,1,2,1,0,0,1
215,57,17,1,0,3,2,1,0,1,0
216,58,18,1,0,3,2,1,0,1,0
217,59,19,1,0,3,2,1,0,1,0
218,60,20,1,0,3,2,1,0,1,0
219,61,21,1,0,3,2,1,0,1,0
220,62,22,1,0,3,2,1,0,1,0
221,63,23,1,0,3,2,1,0,1,0
222,64,24,1,0,3,2,1,0,1,0
223,57,17,1,1,1,1,1,0,0,1
224,58,18,1,1,1,1,1,0,0,1
225,59,19,1,1,1,1,1,0,0,1
226,60,20,1,1,1,1,1,0,0,1
227,61,21,1,1,1,1,1,0,0,1
228,62,22,1,1,1,1,1,0,0,1
229,63,23,1,1,1,1,1,0,0,1
230,64,24,1,1,1,1,1,0,0,1
231,57,17,1,1,1,2,0,1,0,1
232,58,18,1,1,1,2,0,1,0,1
233,59,19,1,1,1,2,0,1,0,1
234,57,17,1,1,1,1,1,0,1,0
235,58,18,1,1,1,1,1,0,1,0
236,59,19,1,1,1,1,1,0,1,0
237,60,20,1,1,1,1,1,0,1,0
238,61,21,1,1,1,1,1,0,1,0
239,62,22,1,1,1,1,1,0,1,0
240,57,17,1,0,0,2,0,1,1,0
241,58,18,1,0,0,2,0,1,1,0
242,59,19,1,0,0,2,0,1,1,0
243,57,17,1,1,1,2,0,1,1,0
244,58,18,1,1,1,2,0,1,1,0
245,59,19,1,1,1,2,0,1,1,0
246,57,17,1,0,3,2,1,0,1,0
247,58,18,1,0,3,2,1,0,1,0
248,59,19,1,0,3,2,1,0,1,0
249,60,20,1,0,3,2,1,0,1,0
250,61,21,1,0,3,2,1,0,1,0
251,62,22,1,0,3,2,1,0,1,0
252,63,23,1,0,3,2,1,0,1,0
253,64,24,1,0,3,2,1,0,1,0
254,57,17,1,0,3,2,0,1,1,0
255,58,18,1,0,3,2,0,1,1,0
256,59,19,1,0,3,2,0,1,1,0
257,57,17,1,0,3,2,1,0,1,0
258,58,18,1,0,3,2,1,0,1,0
259,59,19,1,0,3,2,1,0,1,0
260,60,20,1,0,3,2,1,0,1,0
261,61,21,1,0,3,2,1,0,1,0
262,62,22,1,0,3,2,1,0,1,0
263,63,23,1,0,3,2,1,0,1,0
264,64,24,1,0,3,2,1,0,1,0
265,57,17,1,1,1,2,0,1,0,1
266,58,18,1,1,1,2,0,1,0,1
267,59,19,1,1,1,2,0,1,0,1
268,57,17,1,0,3,2,0,1,1,0
269,58,18,1,0,3,2,0,1,1,0
270,59,19,1,0,3,2,0,1,1,0
271,57,17,1,1,0,2,1,0,0,1
272,58,18,1,1,0,2,1,0,0,1
273,59,19,1,1,0,2,1,0,0,1
274,60,20,1,1,0,2,1,0,0,1
275,61,21,1,1,0,2,1,0,0,1
276,62,22,1,1,0,2,1,0,0,1
277,63,23,1,1,0,2,1,0,0,1
278,64,24,1,1,0,2,1,0,0,1
279,57,17,1,0,0,2,1,0,1,0
280,58,18,1,0,0,2,1,0,1,0
281,59,19,1,0,0,2,1,0,1,0
282,60,20,1,0,0,2,1,0,1,0
283,61,21,1,0,0,2,1,0,1,0
284,62,22,1,0,0,2,1,0,1,0
285,63,23,1,0,0,2,1,0,1,0
286,64,24,1,0,0,2,1,0,1,0
287,57,17,1,0,0,2,1,0,1,0
288,58,18,1,0,0,2,1,0,1,0
289,59,19,1,0,0,2,1,0,1,0
290,60,20,1,0,0,2,1,0,1,0
291,61,21,1,0,0,2,1,0,1,0
292,62,22,1,0,0,2,1,0,1,0
293,63,23,1,0,0,2,1,0,1,0
294,64,24,1,0,0,2,1,0,1,0
295,57,17,1,0,0,2,1,0,1,0
296,58,18,1,0,0,2,1,0,1,0
297,59,19,1,0,0,2,1,0,1,0
298,60,20,1,0,0,2,1,0,1,0
299,61,21,1,0,0,2,1,0,1,0
300,62,22,1,0,0,2,1,0,1,0
301,63,23,1,0,0,2,1,0,1,0
302,64,24,1,0,0,2,1,0,1,0
303,57,17,1,1,1,1,0,1,1,0
304,58,18,1,1,1,1,0,1,1,0
305,59,19,1,1,1,1,0,1,1,0
306,57,17,1,0,0,2,0,1,1,0
307,58,18,1,0,0,2,0,1,1,0
308,59,19,1,0,0,2,0,1,1,0
309,57,17,1,1,1,2,0,1,0,1
310,58,18,1,1,1,2,0,1,0,1
311,59,19,1,1,1,2,0,1,0,1
312,57,17,1,1,1,2,0,1,0,1
313,58,18,1,1,1,2,0,1,0,1
314,59,19,1,1,1,2,0,1,0,1
315,57,17,1,1,1,1,0,1,1,0
316,58,18,1,1,1,1,0,1,1,0
317,59,19,1,1,1,1,0,1,1,0
318,57,17,1,0,0,2,1,0,1,0
319,58,18,1,0,0,2,1,0,1,0
320,59,19,1,0,0,2,1,0,1,0
